variable	CDS	X10k	Contig	value	V2
SRR1755630	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	1650
SRR1755630	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	1650
SRR1755630	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	328.961643072418	1650
SRR1755630	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	706.248503710797	1650
SRR1755630	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	1650
SRR1755631	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	1680
SRR1755631	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	53.7179806018403	1680
SRR1755631	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	1680
SRR1755631	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	172.562905287399	1680
SRR1755631	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	1680
SRR1755631	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	84.708564035824	1680
SRR1755632	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	31.0854629178059	1710
SRR1755632	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	1710
SRR1755632	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	1710
SRR1755632	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	31.4876883138693	1710
SRR1755632	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	4374.11194383306	1710
SRR1755632	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	1710
SRR1755634	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	1770
SRR1755634	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	142.022759147153	1770
SRR1755634	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	49.2518945049046	1770
SRR1755634	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	1770
SRR1755634	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	42.5489883218223	1770
SRR1755634	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	1770
SRR1755637	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	50.9614843690538	1860
SRR1755637	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	1860
SRR1755637	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	1860
SRR1755637	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	1860
SRR1755637	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	336.861744166462	1860
SRR1755637	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	1121.23335669236	1860
SRR1755638	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	1890
SRR1755638	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	1890
SRR1755638	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	123.389509835172	1890
SRR1755638	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	57.1071651646293	1890
SRR1755638	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	3366.54471861135	1890
SRR1755638	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	18.0979867586612	1890
SRR1755639	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	54.1609120697593	1920
SRR1755639	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	82.169387146113	1920
SRR1755639	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	1920
SRR1755639	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	62.7982201842614	1920
SRR1755639	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	69.08510594201	1920
SRR1755639	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	1920
SRR1755644	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2070
SRR1755644	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2070
SRR1755644	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	10.9237363547828	2070
SRR1755644	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	189.205500008155	2070
SRR1755644	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	27.4180723804854	2070
SRR1755644	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	12.0914744222996	2070
SRR1755647	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	10.7584722969338	2160
SRR1755647	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	195.615987362469	2160
SRR1755647	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2160
SRR1755647	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	0	2160
SRR1755647	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	18.2926550416844	2160
SRR1755647	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2160
SRR1755649	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN3027_c0_g1_i1	0	2220
SRR1755649	OQV19569.1	TRINITY_DN44527_c5_g5_i1	TRINITY_DN4316_c0_g1_i1	0	2220
SRR1755649	OQV25958.1	TRINITY_DN42816_c0_g2_i1	TRINITY_DN7337_c0_g1_i1	77.5723245276108	2220
SRR1755649	OQV13318.1	TRINITY_DN40672_c0_g1_i1	TRINITY_DN6861_c0_g1_i1	50.7305194805195	2220
SRR1755649	OQV23307.1	TRINITY_DN42324_c0_g5_i1	TRINITY_DN5458_c0_g1_i1	0	2220
SRR1755649	OQV11687.1	TRINITY_DN43074_c1_g1_i1	TRINITY_DN8002_c0_g1_i1	52.0694037816588	2220
